id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
417015,"Beachside room, near Lennox Head (Skennars Head).",2074078,Gabrielle,,BALLINA SHIRE COUNCIL,-28.82864,153.60313,Private room,69,1,26,2019-04-21,0.44,1,365
430744,Tranquil private Studio Lennox Head,1292092,Kay & Stan,,BALLINA SHIRE COUNCIL,-28.78158,153.57877,Entire home/apt,95,2,30,2017-10-07,0.35,1,363
432774,Lions Lookout Treehouse and daybed,2151170,Kim,,BYRON SHIRE COUNCIL,-28.5279,153.53859,Entire home/apt,100,2,205,2019-05-06,2.47,2,53
452025,"On the Nature Reserve, walk to beaches and town",2245551,Ella,,BYRON SHIRE COUNCIL,-28.6477,153.62363,Entire home/apt,700,5,3,2018-01-09,0.12,1,148
466924,Visit South Golden Beach!  2483,2318854,Eileen,,BYRON SHIRE COUNCIL,-28.49464,153.54717,Private room,95,1,40,2019-01-05,0.48,1,360
487045,Beachside BYRON BAY,2410706,Parissa,,BYRON SHIRE COUNCIL,-28.63466,153.58967,Private room,55,2,116,2019-05-18,1.63,2,96
515349,Craic Cottage - Cabin in the hills,2538287,Justine,,LISMORE CITY COUNCIL,-28.77908,153.43183,Entire home/apt,100,1,65,2019-05-24,0.80,1,360
540567,2 Bedroom Villa on the Tweed River,2408520,John,,TWEED SHIRE COUNCIL,-28.23074,153.55523,Entire home/apt,195,3,3,2015-10-12,0.06,1,363
544470,Plantation Cottages,2677638,Nicole,,BYRON SHIRE COUNCIL,-28.51103,153.53256,Entire home/apt,380,3,39,2019-04-23,0.60,2,351
550619,Spacious A/C apartment - dead centre of town!,2706340,Elaine,,BYRON SHIRE COUNCIL,-28.6433,153.61406,Entire home/apt,219,3,126,2019-05-29,3.84,10,127
557918,A PERFECT STAY - A Summer Cottage,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.64817,153.61819,Entire home/apt,715,3,11,2019-05-27,0.20,114,249
562848,A PERFECT STAY - A Top Spot,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.64472,153.62187,Entire home/apt,764,3,6,2019-02-03,0.26,114,294
563012,A PERFECT STAY - Abode at Byron,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.63627,153.55581,Entire home/apt,605,3,3,2018-10-02,0.06,114,333
563082,A PERFECT STAY - Allure - Beachfront Byron,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.64118,153.60847,Entire home/apt,836,3,16,2019-04-30,0.31,114,286
563172,A PERFECT STAY - Beach House at Tallows,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.68064,153.61472,Entire home/apt,462,3,9,2019-05-06,0.16,114,336
563212,A PERFECT STAY - Blue Bliss - entire property,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.63924,153.60404,Entire home/apt,1034,3,3,2019-05-13,0.04,114,159
563380,A PERFECT STAY - Clarkes Beach Villa,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.64441,153.6228,Entire home/apt,423,3,15,2019-05-05,0.23,114,293
563454,A PERFECT STAY - Harkaway - classic holiday house,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.64822,153.61594,Entire home/apt,417,3,12,2019-01-29,0.43,114,344
563517,A PERFECT STAY - #11 James Cook Apartments,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.64187,153.62639,Entire home/apt,451,5,6,2019-03-13,0.07,114,144
563544,A PERFECT STAY - Kamala - rural experience,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.68629,153.59059,Entire home/apt,578,3,20,2019-03-31,0.33,114,209
563650,A PERFECT STAY - Mi Casa - in the heart of town,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.64545,153.61139,Entire home/apt,417,3,36,2019-05-27,0.51,114,0
564671,A PERFECT STAY - Su Casa,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.64625,153.60991,Entire home/apt,335,3,19,2019-03-10,0.25,114,325
564677,A PERFECT STAY - Apartment 3 Surfside,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.64391,153.61976,Entire home/apt,544,3,1,2015-04-12,0.02,114,303
564683,A PERFECT STAY - Taylors at Tallows,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.67468,153.61593,Entire home/apt,181,3,15,2019-05-13,0.28,114,269
573860,Authentic Balinese Temple,2824063,Mt Warning Rainforest Retreat,,TWEED SHIRE COUNCIL,-28.38355,153.32513,Entire home/apt,425,2,1,2018-12-27,0.19,3,340
573873,12 Sided Rainforest Lodge,2824063,Mt Warning Rainforest Retreat,,TWEED SHIRE COUNCIL,-28.38201,153.32549,Entire home/apt,425,2,2,2018-02-13,0.06,3,353
573878,Hobbit House Set In The Hillside,2824063,Mt Warning Rainforest Retreat,,TWEED SHIRE COUNCIL,-28.38187,153.32562,Entire home/apt,425,2,4,2019-01-12,0.13,3,333
587766,Lilli Pilli Private Room with ensuite,2899669,Jodie,,BYRON SHIRE COUNCIL,-28.65985,153.61088,Private room,79,2,299,2019-05-23,3.62,2,142
588008,Boatshed Byron Bay Beachside,2908350,Gyan & Si,,BYRON SHIRE COUNCIL,-28.65693,153.62266,Entire home/apt,199,2,119,2019-05-06,1.69,2,323
596843,Tranquil Studio 5kms from Byron Bay,2921954,Natasha,,BYRON SHIRE COUNCIL,-28.64523,153.55644,Private room,95,2,30,2019-04-26,0.36,1,177
598972,A PERFECT STAY - Beachwood,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.69115,153.61042,Entire home/apt,605,3,3,2019-04-28,0.32,114,299
610487,Byron Bay Manor! 9 Bedroom Luxury ,3026995,Justin,,BYRON SHIRE COUNCIL,-28.65546,153.56143,Entire home/apt,2000,2,10,2018-11-01,0.20,1,337
616884,Byron Bay-The Salty Dog Retreat - Private Room,3057738,Sabina,,BYRON SHIRE COUNCIL,-28.65396,153.61987,Private room,79,2,40,2019-01-04,0.51,3,78
621384,A Stunning elegant Byron Bay Home,3079951,Katherine,,BYRON SHIRE COUNCIL,-28.64024,153.55732,Entire home/apt,700,7,7,2018-12-30,0.14,1,365
631809,FEATHERVIEW Magic Moons & Mornings Vegan Farm Stay,3142270,Garry,,BYRON SHIRE COUNCIL,-28.58481,153.46693,Entire home/apt,61,1,197,2019-05-22,2.50,2,144
648394,Byron 4 Star Room! Walk to Beach,791858,Philip,,BYRON SHIRE COUNCIL,-28.68115,153.60901,Private room,140,2,19,2019-01-09,0.24,3,365
657024,Beach House Studio at Leas,3310552,Lea,,BYRON SHIRE COUNCIL,-28.64787,153.6184,Entire home/apt,150,3,228,2019-05-05,2.84,2,81
660594,Lush Garden Abode! Byron Bay,3334343,Rossi,,BYRON SHIRE COUNCIL,-28.65783,153.61996,Entire home/apt,199,2,86,2019-04-20,1.06,1,347
670186,"Pinnacle Eco Retreat - Nature,Peace",876765,Barb,,TWEED SHIRE COUNCIL,-28.40018,153.15104,Entire home/apt,181,1,10,2016-03-29,0.14,1,84
671717,Timber Temple Ocean & Forest Views Eco Friendly,3405672,Sherrie,,BALLINA SHIRE COUNCIL,-28.79762,153.58338,Entire home/apt,900,4,5,2019-04-16,0.17,4,343
676365,"Walker St, beach house avail #Splendourinthegrass",3437575,Sally,,BYRON SHIRE COUNCIL,-28.65489,153.62064,Entire home/apt,334,3,16,2019-02-16,0.21,1,346
706949,Wategos Panorama  35 Brownell  Drive,3633438,Jean,,BYRON SHIRE COUNCIL,-28.63676,153.63462,Entire home/apt,349,3,153,2019-05-11,1.93,1,294
706964,"Room w/own entrance, kitchenette & bthrm",998147,Emma,,BYRON SHIRE COUNCIL,-28.65836,153.61048,Private room,90,2,335,2019-05-19,4.16,1,164
723936,Serendip at Mullumbimby Creek,3741923,Julie,,BYRON SHIRE COUNCIL,-28.55756,153.4678,Entire home/apt,295,4,2,2015-01-10,0.04,1,361
738370,Electra! Quiet and clean House in Byron Centre,3858693,Michael,,BYRON SHIRE COUNCIL,-28.65326,153.61383,Entire home/apt,400,5,0,,,8,0
754213,Byron Bay Modern Family Beach Home,3893880,Suzie,,BYRON SHIRE COUNCIL,-28.68452,153.60593,Entire home/apt,100,6,0,,,1,0
775124,BRUNS B&B ClassicQueenslander in the heart of town,4088247,Kirsten,,BYRON SHIRE COUNCIL,-28.53989,153.55072,Private room,144,2,38,2019-05-26,0.59,1,359
777549,Byron Bay Hinterland whole house 2 double bedrooms,4100869,Glen,,LISMORE CITY COUNCIL,-28.6494,153.36114,Entire home/apt,160,2,9,2018-04-01,0.12,1,0
794579,Ballina Comfort in great Location,180748,Bryce And Janine,,BALLINA SHIRE COUNCIL,-28.8603,153.55912,Private room,65,2,113,2018-03-20,1.30,5,0
798820,Ballina Romance in great location,180748,Bryce And Janine,,BALLINA SHIRE COUNCIL,-28.86238,153.55872,Private room,75,2,31,2018-01-30,0.40,5,0
803223,COSSIES BY THE SEA - Walk to Town and Beach.,4227418,Dalene,,BYRON SHIRE COUNCIL,-28.63809,153.60729,Entire home/apt,191,5,25,2019-04-13,0.36,5,195
804604,Absolute Bangalow Studio 10 mins to Byron,2098632,Donna,,BYRON SHIRE COUNCIL,-28.68707,153.52559,Entire home/apt,130,2,127,2019-05-25,1.63,2,64
805381,A PERFECT STAY - Longhouse - beautifully quirky,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.63479,153.59924,Entire home/apt,660,3,15,2019-04-02,0.20,114,229
819991,FEATHERVIEW Best View Farm Stay,3142270,Garry,,BYRON SHIRE COUNCIL,-28.5847,153.46867,Entire home/apt,130,1,426,2019-05-28,5.69,2,212
820367,The Shalimar,4308959,Adam,,BYRON SHIRE COUNCIL,-28.56949,153.42184,Entire home/apt,126,2,52,2019-05-27,0.76,5,0
833757,'Tinkerbell Cottage..... in the Heart of Bangalow',4362487,Isobel,,BYRON SHIRE COUNCIL,-28.68773,153.52168,Entire home/apt,144,2,19,2019-05-26,0.65,1,154
839246,LIGHT & BREEZY HOME @ SUFFOLK PARK,1680858,Mary,,BYRON SHIRE COUNCIL,-28.69057,153.60357,Entire home/apt,225,5,2,2016-01-02,0.04,4,233
855531,"Tranquil, Comfy Room with Ensuite",1742857,Deborah,,BYRON SHIRE COUNCIL,-28.65811,153.61325,Private room,82,1,150,2019-05-24,1.98,2,347
864296,Romantic or Creative getaway,326115,Craig,,TWEED SHIRE COUNCIL,-28.35254,153.38906,Entire home/apt,90,2,108,2019-04-22,1.39,1,331
867531,Relaxing Holiday on the Beach,4373980,Peppe,,BYRON SHIRE COUNCIL,-28.6854,153.61294,Private room,56,1,109,2016-10-24,1.40,1,178
871005,The Tree House-Lismore,4591450,Tim,,LISMORE CITY COUNCIL,-28.83047,153.31149,Entire home/apt,134,2,36,2019-05-24,0.48,1,317
880854,Seaside City Beach House,3794750,Anna,,TWEED SHIRE COUNCIL,-28.2838,153.57346,Entire home/apt,75,1,292,2019-05-13,3.93,2,254
890664,Classic Byron Beach Cottage - DOG FRIENDLY,4263691,Sandra,,BYRON SHIRE COUNCIL,-28.64602,153.61942,Entire home/apt,250,3,10,2018-09-06,0.20,1,235
894979,A PERFECT STAY - Kia Ora Byron,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.64959,153.61826,Entire home/apt,786,3,9,2019-02-04,0.14,114,260
907102,"Banksias at the Beach, Byron Bay",4857357,Peter,,BYRON SHIRE COUNCIL,-28.67955,153.6171,Entire home/apt,380,3,66,2019-05-06,1.41,1,281
907347,Alfie's...peaceful & comfy rustic charm,4859878,Susie,,BYRON SHIRE COUNCIL,-28.63064,153.49014,Entire home/apt,165,2,6,2019-05-05,0.11,2,342
907348,Airy 3br house in Byron Bay centre - No Schoolies,3154806,Paul,,BYRON SHIRE COUNCIL,-28.64795,153.61687,Entire home/apt,219,3,137,2018-11-05,1.79,1,0
908660,River House aka The Federal Hilton,4870428,Louise,,BYRON SHIRE COUNCIL,-28.63526,153.46848,Entire home/apt,165,2,17,2019-04-23,0.26,1,331
917015,Riverview Retreat,4924128,Carolyn,,BALLINA SHIRE COUNCIL,-28.90354,153.52327,Entire home/apt,250,2,7,2019-01-01,0.14,1,117
918903,ByronView Central Elevated Home 4 Brms,6850653,Nerida,,BYRON SHIRE COUNCIL,-28.65498,153.6169,Entire home/apt,349,3,36,2019-02-23,0.54,1,298
931699,LakeSong At Lennox Head - Pet Friendly,5019402,Paula,,BALLINA SHIRE COUNCIL,-28.78603,153.59319,Entire home/apt,250,7,10,2019-05-04,0.22,2,324
932958,Peaceful Accommodation Byron Bay,4484372,Raeleen,,BYRON SHIRE COUNCIL,-28.66128,153.60762,Private room,49,3,56,2019-04-25,0.73,3,15
936254,The Tin Shed - Byron hinterland,5053150,Russell And Sally,,BYRON SHIRE COUNCIL,-28.7381,153.47097,Entire home/apt,140,2,41,2019-01-12,0.54,1,359
